Type,Amount,Date,Time,AM/PM,Description,Plaza,Bridge,Lane,Direction,Transponder,Plate,
Toll,$2.40,8/24/2022,7:09:11,PM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,8/24/2022,4:28:48,PM,LocalTransaction,6,LincolnBridge,-,NB,6712755,,
Toll,$2.40,8/24/2022,2:42:09,PM,LocalTransaction,3,EastEndCrossing,-,SB,6712755,,
Toll,$2.40,8/24/2022,12:45:11,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/24/2022,7:57:05,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/23/2022,5:04:36,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/23/2022,12:28:27,PM,LocalTransaction,3,EastEndCrossing,-,SB,6712755,,
Toll,$2.40,8/23/2022,8:06:10,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/22/2022,5:45:45,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/22/2022,8:02:52,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/19/2022,12:50:42,PM,LocalTransaction,2,LincolnBridge,-,NB-Exit0,6712755,,
Toll,$2.40,8/19/2022,12:08:57,PM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,8/19/2022,11:51:08,AM,LocalTransaction,2,LincolnBridge,-,NB-Exit0,6712755,,
Toll,$2.40,8/18/2022,4:04:24,PM,vTollTransaction,2,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,8/17/2022,5:38:51,PM,LocalTransaction,2,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/17/2022,12:30:15,PM,LocalTransaction,2,LincolnBridge,-,NB-Exit0,6712755,,
Toll,$2.40,8/17/2022,10:49:22,AM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,8/17/2022,7:46:05,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/16/2022,4:52:24,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/16/2022,2:18:32,PM,LocalTransaction,2,LincolnBridge,-,NB-Exit0,6712755,,
Toll,$2.40,8/16/2022,7:21:57,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/15/2022,5:52:54,PM,LocalTransaction,2,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/15/2022,12:35:44,PM,LocalTransaction,3,LincolnBridge,-,NB,6712755,,
